Customer ID,Loyalty Tier,Years as Customer,Satisfaction Score,Acquisition Channel
AA-10315,Silver,3,3.7,Direct
AA-10375,Silver,3,4.8,Direct
AA-10480,Silver,2,4.4,Online
AA-10645,Platinum,8,4.4,Referral
AB-10015,Bronze,2,3.9,Referral
AB-10060,Bronze,2,3.0,Referral
AB-10105,Silver,6,3.4,Direct
AB-10150,Silver,3,4.0,Direct
AB-10165,Silver,5,4.0,Partner
AB-10255,Silver,3,3.8,Direct
AB-10600,Silver,3,2.7,Direct
AC-10420,Bronze,2,2.4,Direct
AC-10450,Silver,4,2.3,Referral
AC-10615,Silver,5,3.9,Referral
AC-10660,Silver,6,3.1,Direct
AD-10180,Gold,3,3.3,Referral
AF-10870,Gold,8,3.6,Partner
AF-10885,Bronze,3,3.1,Referral
AG-10270,Bronze,4,2.5,Partner
AG-10300,Bronze,1,3.4,Online
AG-10330,Gold,7,3.3,Direct
AG-10390,Silver,6,4.0,Referral
AG-10495,Silver,7,5.0,Partner
AG-10525,Silver,4,3.5,Online
AG-10675,Bronze,2,3.7,Online
AG-10765,Bronze,2,3.6,Referral
AG-10900,Silver,2,3.0,Referral
AH-10030,Silver,6,3.7,Online
AH-10075,Gold,8,2.2,Direct
AH-10120,Silver,3,3.1,Direct
AH-10195,Silver,3,3.5,Partner
AH-10210,Silver,4,4.2,Direct
AH-10465,Bronze,1,3.6,Online
AH-10585,Bronze,3,3.7,Online
AH-10690,Gold,7,4.5,Online
AI-10855,Platinum,12,4.8,Direct
AJ-10780,Silver,9,3.8,Partner
AJ-10795,Gold,8,3.5,Direct
AJ-10945,Gold,6,3.6,Partner
AJ-10960,Silver,6,3.3,Direct
AM-10360,Gold,11,3.7,Online
AM-10705,Platinum,11,4.6,Online
AO-10810,Bronze,1,4.0,Referral
AP-10720,Platinum,7,4.4,Direct
AP-10915,Platinum,11,4.2,Direct
AR-10345,Bronze,2,3.6,Referral
AR-10405,Gold,7,3.9,Online
AR-10510,Bronze,4,3.8,Direct
AR-10540,Gold,7,3.7,Referral
AR-10570,Bronze,4,3.6,Direct
AR-10825,Gold,4,4.0,Partner
AS-10045,Silver,6,3.5,Online
AS-10090,Bronze,3,2.6,Partner
AS-10135,Bronze,4,3.2,Online
AS-10225,Bronze,3,3.4,Referral
AS-10240,Silver,2,2.8,Online
AS-10285,Silver,6,3.6,Online
AS-10630,Gold,5,4.5,Referral
AT-10435,Silver,2,1.7,Online
AT-10735,Bronze,4,3.5,Direct
AW-10840,Bronze,1,3.9,Referral
AW-10930,Silver,8,4.8,Referral
AY-10555,Gold,5,3.6,Referral
AZ-10750,Silver,2,2.9,Partner
BB-10990,Bronze,3,3.9,Partner
BB-11545,Bronze,5,3.4,Online
