order_id,return_date,return_reason,refund_amount
CA-2024-71487,15-05-2024,Late Delivery,727.04
CA-2024-12490,09-05-2024,Damaged,140.88
CA-2024-89807,17-05-2024,Wrong Item,626.53
CA-2024-41147,10-05-2024,Damaged,209.79
CA-2024-93748,26-05-2024,Late Delivery,73.68
CA-2024-75513,20-05-2024,Late Delivery,514.77
CA-2024-85372,08-05-2024,Customer Changed Mind,250.74
CA-2024-10205,20-05-2024,Wrong Item,467.26
CA-2024-34551,22-05-2024,Customer Changed Mind,430.7
CA-2024-57265,03-05-2024,Quality Issue,446.66
CA-2024-76535,18-05-2024,Damaged,701.83
CA-2024-15706,21-05-2024,Wrong Item,314.31
CA-2024-12128,12-05-2024,Customer Changed Mind,292.22
CA-2024-96127,21-05-2024,Damaged,475.98
CA-2024-53583,05-05-2024,Damaged,448.16
CA-2024-94252,06-05-2024,Customer Changed Mind,555.63
CA-2024-72722,21-05-2024,Damaged,129.51
CA-2024-69988,02-05-2024,Damaged,58.95
CA-2024-36144,02-05-2024,Wrong Item,265.31
CA-2024-62196,27-05-2024,Late Delivery,221.32
CA-2024-94790,07-05-2024,Damaged,693.16
CA-2024-16265,28-05-2024,Customer Changed Mind,236.74
CA-2024-58237,14-05-2024,Customer Changed Mind,601.06
CA-2024-60678,11-05-2024,Quality Issue,409.56
CA-2024-75211,12-05-2024,Quality Issue,427.44
CA-2024-20828,24-05-2024,Wrong Item,358.72
CA-2024-33652,18-05-2024,Damaged,104.51
CA-2024-52981,22-05-2024,Damaged,370.58
CA-2024-65851,06-05-2024,Customer Changed Mind,297.45
CA-2024-15551,24-05-2024,Customer Changed Mind,298.23
CA-2024-67008,09-05-2024,Late Delivery,638.4
CA-2024-17518,03-05-2024,Customer Changed Mind,339.81
CA-2024-77251,26-05-2024,Customer Changed Mind,148.99
CA-2024-14081,05-05-2024,Customer Changed Mind,550.52
CA-2024-67432,02-05-2024,Damaged,207.9
CA-2024-94562,12-05-2024,Wrong Item,760.84
CA-2024-14244,20-05-2024,Damaged,373.69
CA-2024-58623,12-05-2024,Wrong Item,84.59
CA-2024-28047,17-05-2024,Wrong Item,268.65
CA-2024-46528,08-05-2024,Quality Issue,45.08
CA-2024-34385,16-05-2024,Late Delivery,733.0
CA-2024-25435,09-05-2024,Customer Changed Mind,570.63
CA-2024-38124,20-05-2024,Damaged,735.27
CA-2024-74382,07-05-2024,Damaged,685.94
CA-2024-69250,06-05-2024,Customer Changed Mind,369.96
CA-2024-21506,26-05-2024,Customer Changed Mind,680.28
CA-2024-51889,22-05-2024,Wrong Item,75.33
CA-2024-81063,10-05-2024,Customer Changed Mind,684.81
CA-2024-93584,06-05-2024,Customer Changed Mind,419.29
CA-2024-25907,07-05-2024,Customer Changed Mind,208.47
CA-2024-74752,01-05-2024,Wrong Item,468.51
